workflow_id,model,iteration,passes_actionlint,n_errors,lint_time_sec
266,pro,4,True,0,0.6677920818328851
267,pro,2,True,0,0.695334196090698
268,pro,2,True,0,0.7107017040252681
269,pro,3,True,0,0.717861175537109
270,pro,5,False,1,0.69672155380249
271,pro,5,False,1,0.076075315475463
272,pro,1,True,0,0.710437536239624
273,pro,1,True,0,0.7328586578369141
274,pro,1,True,0,0.7292790412902831
275,pro,1,True,0,0.687959194183349
276,pro,1,True,0,0.7464127540588371
277,pro,1,True,0,0.7153103351593011
278,pro,1,True,0,0.7131826877593991
279,pro,1,True,0,0.699290752410888
280,pro,2,True,0,0.7027788162231441
281,pro,1,True,0,0.7084331512451171
282,pro,2,True,0,0.6791198253631591
283,pro,1,True,0,0.678058624267578
284,pro,2,True,0,0.688717126846313
285,pro,2,True,0,0.6829230785369871
286,pro,1,True,0,0.706469774246215
287,pro,1,True,0,0.67916464805603
288,pro,1,True,0,0.684176206588745
289,pro,1,True,0,0.697810888290405
290,pro,1,True,0,0.689200162887573
291,pro,1,True,0,0.722006320953369
292,pro,1,True,0,0.706330776214599
293,pro,1,True,0,0.6775627136230461
294,pro,1,True,0,0.688700675964355
295,pro,1,True,0,0.699378490447998
296,pro,1,True,0,0.723715305328369
297,pro,2,True,0,0.6958787441253661
298,pro,1,True,0,0.711067676544189
299,pro,1,True,0,0.687212944030761
300,pro,1,True,0,0.7110350131988521
301,pro,5,False,1,0.6653201580047601
302,pro,2,True,0,0.6875984668731691
303,pro,1,True,0,0.7153990268707271
304,pro,1,True,0,0.709496736526489
305,pro,4,True,0,0.701224327087402
306,pro,3,True,0,0.6711070537567131
307,pro,2,True,0,0.691119670867919
308,pro,1,True,0,0.686148166656494
309,pro,2,True,0,0.6857776641845701
310,pro,1,True,0,0.71412181854248
311,pro,1,True,0,0.6984233856201171
312,pro,2,True,0,0.683457851409912
313,pro,2,True,0,0.695892333984375
314,pro,1,True,0,0.7081384658813471
315,pro,2,True,0,0.68312382698059
316,pro,1,True,0,0.719856739044189
317,pro,1,True,0,0.7631096839904781
318,pro,1,True,0,0.7181186676025391
319,pro,1,True,0,0.673633575439453
320,pro,1,True,0,0.7228701114654541
321,pro,1,True,0,0.692227125167846
322,pro,1,True,0,0.6952745914459221
323,pro,1,True,0,0.699967145919799
324,pro,1,True,0,0.7106029987335201
325,pro,1,True,0,0.685723304748535
326,pro,1,True,0,0.69775366783142
327,pro,1,True,0,0.701501369476318
328,pro,1,True,0,0.71949553489685
329,pro,1,True,0,0.69874882698059
330,pro,1,True,0,0.679256677627563
331,pro,1,True,0,0.6867568492889401
332,pro,1,True,0,0.6892075538635251
333,pro,1,True,0,0.6981315612792961
334,pro,2,True,0,0.8507640361785881
335,pro,5,False,1,0.706110000610351
336,pro,1,True,0,0.6960926055908201
337,pro,2,True,0,0.7425627708435051
338,pro,1,True,0,0.7797517776489251
339,pro,1,True,0,0.7171635627746581
340,pro,1,True,0,0.706969738006591
341,pro,1,True,0,0.7113955020904541
342,pro,3,True,0,0.810759782791137
343,pro,1,True,0,0.8309352397918701
344,pro,5,False,6,0.7371196746826171
345,pro,3,True,0,0.754136323928833
346,pro,1,True,0,0.8071315288543701
347,pro,1,True,0,0.744766473770141
348,pro,2,True,0,0.7723371982574461
349,pro,2,True,0,0.758386611938476
350,pro,1,True,0,0.749954462051391
351,pro,5,False,2,0.712787628173828
352,pro,1,True,0,0.761598110198974
353,pro,1,True,0,0.7141985893249511
354,pro,1,True,0,0.700119256973266
355,pro,5,True,0,0.6650261878967281
356,pro,1,True,0,0.6784198284149171
357,pro,1,True,0,0.6890323162078851
358,pro,1,True,0,0.6587202548980711
359,pro,1,True,0,0.6395106315612791
360,pro,1,True,0,0.639595746994018
361,pro,1,True,0,0.7544426918029781
362,pro,1,True,0,0.7090408802032471
363,pro,2,True,0,0.665582656860351
364,pro,1,True,0,0.657015085220336
365,pro,1,True,0,0.702694177627563
366,pro,1,True,0,0.6435778141021721
367,pro,1,True,0,0.6818857192993161
368,pro,2,True,0,0.6351103782653801
369,pro,1,True,0,0.64803123474121
370,pro,1,True,0,0.6637413501739501
371,pro,1,True,0,0.6595101356506341
372,pro,2,True,0,0.661126136779785
373,pro,5,False,1,0.086746454238891
374,pro,1,True,0,0.665785312652587
375,pro,1,True,0,0.658671140670776
376,pro,1,True,0,0.6710047721862791
377,pro,2,True,0,0.6515810489654541
378,pro,1,True,0,0.668981313705444
379,pro,5,True,0,0.647776365280151
380,pro,1,True,0,0.680538892745971
381,pro,1,True,0,0.695412158966064
382,pro,5,False,1,0.07858848571777301
383,pro,1,True,0,0.6691620349884031
384,pro,1,True,0,0.678621530532836
385,pro,5,False,1,0.6964726448059081
386,pro,1,True,0,0.681306838989257
387,pro,1,True,0,0.709813833236694
388,pro,1,True,0,0.7408759593963621
389,pro,1,True,0,0.6881947517395021
390,pro,1,True,0,0.640128374099731
391,pro,1,True,0,0.670750856399536
392,pro,2,True,0,0.6246294975280761
393,pro,1,True,0,0.648486614227294
394,pro,1,True,0,0.693448066711425
395,pro,1,True,0,0.742636203765869
396,pro,1,True,0,0.6690824031829831
397,pro,1,True,0,0.719376564025878
398,pro,2,True,0,0.655549526214599
399,pro,1,True,0,0.678715467453002
400,pro,1,True,0,0.6616497039794921
401,pro,1,True,0,0.676013708114624
402,pro,1,True,0,0.7620582580566401
403,pro,1,True,0,0.661518096923828
