workflow_id,condition,n_errors,n_kinds,passes_actionlint
apache/airflow/.github/workflows/static-checks-mypy-and-constraints-generation.yml/a550742c6e77ff05369f1cecd6a0e8ceb22d55cb,gold,6.0,2.0,False
apache/airflow/.github/workflows/static-checks-mypy-and-constraints-generation.yml/a550742c6e77ff05369f1cecd6a0e8ceb22d55cb,pro,15.0,4.0,False
apache/airflow/.github/workflows/static-checks-mypy-and-constraints-generation.yml/a550742c6e77ff05369f1cecd6a0e8ceb22d55cb,flash,86.0,6.0,False
apache/dubbo/.github/workflows/build-and-test-pr.yml/fa485deb47560e61e794124c42a415dc73edcecb,gold,63.0,2.0,False
apache/dubbo/.github/workflows/build-and-test-pr.yml/fa485deb47560e61e794124c42a415dc73edcecb,pro,5.0,2.0,False
apache/dubbo/.github/workflows/build-and-test-pr.yml/fa485deb47560e61e794124c42a415dc73edcecb,flash,5.0,3.0,False
apache/kafka/.github/workflows/pr.yml/3d868aacf2b893cbe658a6f7a1caa787be746ff3,gold,6.0,3.0,False
apache/kafka/.github/workflows/pr.yml/3d868aacf2b893cbe658a6f7a1caa787be746ff3,pro,5.0,3.0,False
apache/kafka/.github/workflows/pr.yml/3d868aacf2b893cbe658a6f7a1caa787be746ff3,flash,10.0,5.0,False
apolloconfig/apollo/.github/workflows/build.yml/251cad3fcfa6fce75ccb865916da6d3744924e10,gold,15.0,1.0,False
apolloconfig/apollo/.github/workflows/build.yml/251cad3fcfa6fce75ccb865916da6d3744924e10,pro,0.0,0.0,True
apolloconfig/apollo/.github/workflows/build.yml/251cad3fcfa6fce75ccb865916da6d3744924e10,flash,0.0,0.0,True
appflowy-io/appflowy/.github/workflows/release.yml/f65ee293aea9807e17c63c0a82fb70bb4a22ed14,gold,12.0,2.0,False
appflowy-io/appflowy/.github/workflows/release.yml/f65ee293aea9807e17c63c0a82fb70bb4a22ed14,pro,17.0,4.0,False
appflowy-io/appflowy/.github/workflows/release.yml/f65ee293aea9807e17c63c0a82fb70bb4a22ed14,flash,10.0,5.0,False
appwrite/appwrite/.github/workflows/benchmark.yml/9873daa3ade59d8f1c1aec7adc5af23ecc31cab2,gold,13.0,2.0,False
appwrite/appwrite/.github/workflows/benchmark.yml/9873daa3ade59d8f1c1aec7adc5af23ecc31cab2,pro,6.0,4.0,False
appwrite/appwrite/.github/workflows/benchmark.yml/9873daa3ade59d8f1c1aec7adc5af23ecc31cab2,flash,6.0,4.0,False
aria2/aria2/.github/workflows/android.yml/ea6d4240d04da8b0046fda3333a92d64dd39d536,gold,0.0,0.0,True
aria2/aria2/.github/workflows/android.yml/ea6d4240d04da8b0046fda3333a92d64dd39d536,pro,0.0,0.0,True
aria2/aria2/.github/workflows/android.yml/ea6d4240d04da8b0046fda3333a92d64dd39d536,flash,0.0,0.0,True
aseprite/aseprite/.github/workflows/clang_tidy_post.yml/4cfb3cfa3fe9439bf8fb0311c73a8d4f0e589d65,gold,1.0,1.0,False
aseprite/aseprite/.github/workflows/clang_tidy_post.yml/4cfb3cfa3fe9439bf8fb0311c73a8d4f0e589d65,pro,0.0,0.0,True
aseprite/aseprite/.github/workflows/clang_tidy_post.yml/4cfb3cfa3fe9439bf8fb0311c73a8d4f0e589d65,flash,3.0,2.0,False
astral-sh/ruff/.github/workflows/release.yml/b0b68a5601d2c00e6427348de1d662471ba35a18,gold,6.0,1.0,False
astral-sh/ruff/.github/workflows/release.yml/b0b68a5601d2c00e6427348de1d662471ba35a18,pro,13.0,5.0,False
astral-sh/ruff/.github/workflows/release.yml/b0b68a5601d2c00e6427348de1d662471ba35a18,flash,24.0,6.0,False
astral-sh/uv/.github/workflows/ci.yaml/b059c590c4122acdddbf10cb7565ec97fe249837,gold,28.0,3.0,False
astral-sh/uv/.github/workflows/ci.yaml/b059c590c4122acdddbf10cb7565ec97fe249837,pro,25.0,4.0,False
astral-sh/uv/.github/workflows/ci.yaml/b059c590c4122acdddbf10cb7565ec97fe249837,flash,18.0,4.0,False
avaloniaui/avalonia/.github/workflows/CLA.yml/40c5d346735a251439668600ca21e66bda65d0d4,gold,0.0,0.0,True
avaloniaui/avalonia/.github/workflows/CLA.yml/40c5d346735a251439668600ca21e66bda65d0d4,pro,0.0,0.0,True
avaloniaui/avalonia/.github/workflows/CLA.yml/40c5d346735a251439668600ca21e66bda65d0d4,flash,0.0,0.0,True
